experiment	ndata	sqrt(bias/variance)
NMC	325.0	0.6761598811593114
SLAC	67.0	0.5564521183965467
BCDMS	581.0	0.6371354513470301
CHORUS	832.0	0.6329066483314292
NTVDMN	76.0	0.6431720885692336
HERACOMB	1145.0	0.9290818802333926
HERAF2CHARM	37.0	1.6347545802168657
F2BOTTOM	29.0	1.1324072643047554
DYE886	104.0	0.6344940162817323
DYE605	85.0	0.9105584531154806
CDF	105.0	0.7488164089443249
D0	45.0	0.7655244667074241
ATLAS	360.0	0.7771862118078989
CMS	409.0	0.7652265306826043
LHCb	85.0	0.7311390870205192
Total	4285.0	0.7401167713084457
