Dataset	Training fraction	C-factors	Other fields
NMCPD	0.5	-	-
NMC	0.5	-	-
SLACP	0.5	-	-
SLACD	0.5	-	-
BCDMSP	0.5	-	-
BCDMSD	0.5	-	-
CHORUSNU	0.5	-	-
CHORUSNB	0.5	-	-
NTVNUDMN	0.5	-	-
NTVNBDMN	0.5	-	-
HERACOMBNCEM	0.5	-	-
HERACOMBNCEP460	0.5	-	-
HERACOMBNCEP575	0.5	-	-
HERACOMBNCEP820	0.5	-	-
HERACOMBNCEP920	0.5	-	-
HERACOMBCCEM	0.5	-	-
HERACOMBCCEP	0.5	-	-
HERAF2CHARM	0.5	-	-
H1HERAF2B	1.0	-	-
ZEUSHERAF2B	1.0	-	-
DYE886R	1.0	-	-
DYE886P	0.5	QCD	-
DYE605	0.5	QCD	-
CDFZRAP	1.0	QCD	-
CDFR2KT	0.5	-	{'sys': 10}
D0ZRAP	1.0	QCD	-
D0WEASY	1.0	QCD	-
D0WMASY	1.0	QCD	-
ATLASWZRAP36PB	1.0	QCD	-
ATLASZHIGHMASS49FB	1.0	QCD	-
ATLASLOMASSDY11EXT	1.0	QCD	-
ATLASWZRAP11	0.5	QCD	-
ATLASR04JETS36PB	0.5	-	{'sys': 10}
ATLASR04JETS2P76TEV	0.5	-	{'sys': 10}
ATLAS1JET11	0.5	-	{'sys': 10}
ATLASZPT8TEVMDIST	0.5	QCD	{'sys': 10}
ATLASZPT8TEVYDIST	0.5	QCD	{'sys': 10}
ATLASTTBARTOT	1.0	QCD	-
ATLASTOPDIFF8TEVTRAPNORM	1.0	QCD	-
CMSWEASY840PB	1.0	QCD	-
CMSWMASY47FB	1.0	QCD	-
CMSDY2D11	0.5	QCD	-
CMSWMU8TEV	1.0	QCD	-
CMSJETS11	0.5	-	{'sys': 10}
CMS1JET276TEV	0.5	-	{'sys': 10}
CMSZDIFF12	1.0	QCD, NRM	{'sys': 10}
CMSTTBARTOT	1.0	QCD	-
CMSTOPDIFF8TEVTTRAPNORM	1.0	QCD	-
LHCBZ940PB	1.0	QCD	-
LHCBZEE2FB	1.0	QCD	-
LHCBWZMU7TEV	1.0	NRM, QCD	-
LHCBWZMU8TEV	1.0	NRM, QCD	-
